,State Name,county Name,County Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,Year,Month,Day,Month_Day,Five-Year Avg.
133,Alabama,Mobile,97,2020-01-19,11,Good,PM2.5,1,2020,1,19,01-19,31.264705882352942
134,Alabama,Mobile,97,2020-01-20,16,Good,PM2.5,1,2020,1,20,01-20,29.848484848484848
135,Alabama,Mobile,97,2020-01-21,25,Good,PM2.5,1,2020,1,21,01-21,31.852941176470587
136,Alabama,Mobile,97,2020-01-22,38,Good,PM2.5,1,2020,1,22,01-22,30.484848484848484
137,Alabama,Mobile,97,2020-01-23,58,Moderate,PM2.5,1,2020,1,23,01-23,30.794117647058822
138,Alabama,Mobile,97,2020-01-24,24,Good,PM2.5,1,2020,1,24,01-24,35.121212121212125
139,Alabama,Mobile,97,2020-01-25,27,Good,PM2.5,1,2020,1,25,01-25,31.939393939393938
140,Alabama,Mobile,97,2020-01-26,45,Good,PM2.5,1,2020,1,26,01-26,31.09090909090909
141,Alabama,Mobile,97,2020-01-27,25,Good,PM2.5,1,2020,1,27,01-27,33.85294117647059
142,Alabama,Mobile,97,2020-01-28,33,Good,PM2.5,1,2020,1,28,01-28,32.05882352941177
143,Alabama,Mobile,97,2020-01-29,1,Good,SO2,1,2020,1,29,01-29,30.571428571428573
144,Alabama,Mobile,97,2020-01-31,33,Good,PM2.5,1,2020,1,31,01-31,30.852941176470587
145,Alabama,Montgomery,101,2020-01-01,57,Moderate,PM2.5,1,2020,1,1,01-01,33.48
146,Alabama,Montgomery,101,2020-01-02,54,Moderate,PM2.5,1,2020,1,2,01-02,34.04347826086956
147,Alabama,Montgomery,101,2020-01-03,22,Good,PM2.5,1,2020,1,3,01-03,34.708333333333336
148,Alabama,Montgomery,101,2020-01-04,23,Good,PM2.5,1,2020,1,4,01-04,34.270833333333336
149,Alabama,Montgomery,101,2020-01-05,40,Good,PM2.5,1,2020,1,5,01-05,33.45652173913044
150,Alabama,Montgomery,101,2020-01-06,57,Moderate,PM2.5,1,2020,1,6,01-06,34.44
151,Alabama,Montgomery,101,2020-01-07,34,Good,PM2.5,1,2020,1,7,01-07,34.36734693877551
152,Alabama,Montgomery,101,2020-01-08,45,Good,PM2.5,1,2020,1,8,01-08,39.46808510638298
153,Alabama,Montgomery,101,2020-01-09,64,Moderate,PM2.5,1,2020,1,9,01-09,33.666666666666664
154,Alabama,Montgomery,101,2020-01-10,57,Moderate,PM2.5,1,2020,1,10,01-10,36.375
155,Alabama,Montgomery,101,2020-01-11,30,Good,PM2.5,1,2020,1,11,01-11,36.67391304347826
156,Alabama,Montgomery,101,2020-01-12,31,Good,PM2.5,1,2020,1,12,01-12,34.5625
157,Alabama,Montgomery,101,2020-01-13,45,Good,PM2.5,1,2020,1,13,01-13,33.38775510204081
158,Alabama,Montgomery,101,2020-01-14,32,Good,PM2.5,1,2020,1,14,01-14,37.479166666666664
159,Alabama,Montgomery,101,2020-01-15,38,Good,PM2.5,1,2020,1,15,01-15,39.87755102040816
160,Alabama,Montgomery,101,2020-01-16,25,Good,PM2.5,1,2020,1,16,01-16,39.8125
161,Alabama,Montgomery,101,2020-01-17,29,Good,PM2.5,1,2020,1,17,01-17,36.6875
162,Alabama,Montgomery,101,2020-01-18,46,Good,PM2.5,1,2020,1,18,01-18,35.88
163,Alabama,Montgomery,101,2020-01-19,22,Good,PM2.5,1,2020,1,19,01-19,33.74
164,Alabama,Montgomery,101,2020-01-22,48,Good,PM2.5,1,2020,1,22,01-22,33.96
165,Alabama,Montgomery,101,2020-01-23,54,Moderate,PM2.5,1,2020,1,23,01-23,32.083333333333336
166,Alabama,Montgomery,101,2020-01-24,41,Good,PM2.5,1,2020,1,24,01-24,33.98039215686274
167,Alabama,Montgomery,101,2020-01-25,34,Good,PM2.5,1,2020,1,25,01-25,34.372549019607845
168,Alabama,Montgomery,101,2020-01-26,52,Moderate,PM2.5,1,2020,1,26,01-26,39.02127659574468
169,Alabama,Montgomery,101,2020-01-27,33,Good,PM2.5,1,2020,1,27,01-27,37.208333333333336
170,Alabama,Montgomery,101,2020-01-28,48,Good,PM2.5,1,2020,1,28,01-28,35.916666666666664
171,Alabama,Montgomery,101,2020-01-29,41,Good,PM2.5,1,2020,1,29,01-29,40.5625
172,Alabama,Montgomery,101,2020-01-30,48,Good,PM2.5,1,2020,1,30,01-30,34.22
173,Alabama,Montgomery,101,2020-01-31,51,Moderate,PM2.5,1,2020,1,31,01-31,38.58
174,Alabama,Morgan,103,2020-01-01,20,Good,PM2.5,1,2020,1,1,01-01,38.52
175,Alabama,Morgan,103,2020-01-02,19,Good,PM2.5,1,2020,1,2,01-02,37.72
176,Alabama,Morgan,103,2020-01-03,14,Good,PM2.5,1,2020,1,3,01-03,35.28
177,Alabama,Morgan,103,2020-01-04,27,Good,PM2.5,1,2020,1,4,01-04,34.42
178,Alabama,Morgan,103,2020-01-05,22,Good,PM2.5,1,2020,1,5,01-05,35.48
179,Alabama,Morgan,103,2020-01-06,31,Good,PM2.5,1,2020,1,6,01-06,38.58
180,Alabama,Morgan,103,2020-01-07,14,Good,PM2.5,1,2020,1,7,01-07,36.62
